file,channel,N_samples,fs,duration_sec,mains,tplN,prom,minrr,prebp,mu,order,peaks_count,residual_std,anc_std,residual_rms,anc_rms,residual_ptp,anc_ptp,acc_energy_mean,acc_energy_max,gyro_present,status,error_message,png_path
PPG_1_20250721_152548_双耳佩戴_饮水3次吞咽,green,3590,100.0,35.9,50,300,0.8,0.35,"0.4,8.0",0.0008,16,6,1926.6748264992884,1475.7835347089522,1930.414948047673,1475.7936652958945,34151.85594835669,27113.45458587569,36182.065157747704,680267.4329251025,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_1_20250721_152548_双耳佩戴_饮水3次吞咽.png
PPG_1_20250721_161413_双耳佩戴_饮水三次吞咽,green,2810,100.0,28.1,50,300,0.8,0.35,"0.4,8.0",0.0008,16,60,508.3173065887971,170.11148960746323,508.49073476347104,170.14016671195284,2308.790463086012,957.5085757527445,8825.370816120783,123626.52974129174,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_1_20250721_161413_双耳佩戴_饮水三次吞咽.png
PPG_1_20250721_161608_不同位置_饮水三次吞咽,green,2420,100.0,24.2,50,300,0.8,0.35,"0.4,8.0",0.0008,16,48,429.66157761753567,170.5286230316634,429.6672341355022,170.53601791176075,1851.1324734118389,954.8474604711312,9040.615662154192,75260.16073033577,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_1_20250721_161608_不同位置_饮水三次吞咽.png
PPG_1_20250721_161845_不同位置_饮水三次吞咽,green,2920,100.0,29.2,50,300,0.8,0.35,"0.4,8.0",0.0008,16,57,689.1268377252316,207.63193671918876,689.8588590232155,207.63327858588994,3083.081564879875,1355.3752518805545,51821.01805132052,4582409.37349811,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_1_20250721_161845_不同位置_饮水三次吞咽.png
PPG_1_20250721_162030_不同位置_唾液四次吞咽,green,11650,100.0,116.5,50,300,0.8,0.35,"0.4,8.0",0.0008,16,23,7824.141472409833,4838.239041041814,7827.4818234230925,4838.239257254082,98100.7602547503,90182.81005971118,6139772.9131888235,275683814.6143824,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_1_20250721_162030_不同位置_唾液四次吞咽.png
PPG_2_20250721_152548,green,3630,100.0,36.3,50,300,0.8,0.35,"0.4,8.0",0.0008,16,6,1886.0527875960834,1506.9307998394413,1886.0545861227188,1506.9423832515738,29127.02783706784,23218.899966159945,40829.84801652689,1072070.9462284571,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_2_20250721_152548.png
PPG_2_20250721_161413,green,2820,100.0,28.2,50,300,0.8,0.35,"0.4,8.0",0.0008,16,5,1974.1197674397636,1552.813559841689,1993.0729262413245,1552.8199001720882,22176.52925015317,20071.24254277894,15277.635233041383,268233.0037088749,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_2_20250721_161413.png
PPG_2_20250721_161608,green,2440,100.0,24.4,50,300,0.8,0.35,"0.4,8.0",0.0008,16,19,1163.76386338612,889.760632665546,1167.6435015660368,889.7646306680831,8665.175533726811,7555.136560372059,26408.99232517651,265623.9188184991,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_2_20250721_161608.png
PPG_2_20250721_161845,green,2930,100.0,29.3,50,300,0.8,0.35,"0.4,8.0",0.0008,16,68,584.360671532281,263.5828477952466,585.2081058052958,263.60832389756683,3973.964153701497,2932.2216281060046,43242.10542137132,1095871.236451855,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_2_20250721_161845.png
PPG_2_20250721_162030,green,11630,100.0,116.3,50,300,0.8,0.35,"0.4,8.0",0.0008,16,160,2082.0932137485693,1327.2044219562556,2086.7807767802237,1327.2045085019827,34976.67925210354,25627.43317312047,84892.05990125582,2010123.7651244276,False,OK,,C:\Users\tsawke\Desktop\Project-Swallow\results_lhr_20250824-0255\PPG_2_20250721_162030.png
